filename, 31d1eefdbeca-h2-simpless-dks-lmcountlmmergedlmrhwlmhm1, 31d1eefdbeca-h2-simpless-dks-masb50ksccdfp, 31d1eefdbeca-h2-simpless-dks-lmcountlmrhw, 31d1eefdbeca-h2-simpless-dks-blind, 31d1eefdbeca-h2-simpless-dks-celmcut, 31d1eefdbeca-h2-simpless-dks-zopdbsgenetic, 31d1eefdbeca-h2-simpless-dks-masb50ksbmiasm, 31d1eefdbeca-h2-simpless-dks-masginfsccdfp, 31d1eefdbeca-simpless-dks-masb50kmiasmdfp, 31d1eefdbeca-h2-simpless-dks-cpdbshc900, 31d1eefdbeca-h2-simpless-oss-blind, 31d1eefdbeca-h2-simpless-oss-celmcut, 31d1eefdbeca-h2-simpless-oss-lmcountlmrhw, 31d1eefdbeca-h2-simpless-oss-masb50ksccdfp, 31d1eefdbeca-h2-simpless-oss-lmcountlmmergedlmrhwlmhm1, 31d1eefdbeca-h2-simpless-oss-zopdbsgenetic, 31d1eefdbeca-h2-simpless-oss-cpdbshc900, 31d1eefdbeca-simpless-oss-masb50kmiasmdfp, 31d1eefdbeca-h2-simpless-oss-masb50ksbmiasm, 31d1eefdbeca-h2-simpless-oss-masginfsccdfp, seq-opt-symba-1
airport-p01-airport1-p1.pddl-bolded-cs.png, 0.01, 0.026763, 0.01, 0.01, 0.01, 0.0439134, 0.0503462, 0.0264703, 10000.0, 0.0135662, 0.01, 0.01, 0.01, 0.0282645, 0.01, 0.0445254, 0.0138842, 10000.0, 0.0844386, 0.0264634, 0.1
airport-p02-airport1-p1.pddl-bolded-cs.png, 0.01, 0.0245944, 0.01, 0.01, 0.01, 0.363277, 0.0445106, 0.0244402, 283.125, 0.0111093, 0.01, 0.01, 0.01, 0.0252522, 0.01, 0.36847, 0.0114014, 279.704, 0.0503009, 0.0241895, 0.12
airport-p03-airport1-p2.pddl-bolded-cs.png, 0.010297, 3.23828, 0.01, 0.01, 0.01, 0.250951, 0.311443, 0.122445, 7.0885, 0.0651673, 0.01, 0.01, 0.01, 5.48819, 0.0103455, 0.256403, 0.0660822, 10.6348, 6.65685, 0.122768, 0.15
airport-p04-airport2-p1.pddl-bolded-cs.png, 0.0122348, 0.0724912, 0.0105802, 0.01, 0.01, 0.155818, 0.138761, 0.071265, 10000.0, 0.0242774, 0.01, 0.01, 0.0101899, 0.0737589, 0.012358, 0.15506, 0.0248319, 10000.0, 0.214609, 0.0702479, 0.11
airport-p05-airport2-p1.pddl-bolded-cs.png, 0.0141091, 0.0943366, 0.0119795, 0.01, 0.01, 0.315233, 0.193004, 0.094863, 10000.0, 0.0229606, 0.01, 0.01, 0.011984, 0.0957893, 0.0145073, 0.314812, 0.023158, 10000.0, 0.196439, 0.0938101, 0.12
airport-p06-airport2-p2.pddl-bolded-cs.png, 0.030853, 42.5916, 0.0254285, 0.0183346, 0.0214082, 0.0273581, 2.15198, 0.994029, 10000.0, 0.0838177, 0.0180456, 0.0214927, 0.0252949, 53.1804, 0.0308541, 0.026497, 0.0848531, 10000.0, 6.34798, 0.998265, 0.2
airport-p07-airport2-p2.pddl-bolded-cs.png, 0.0293868, 34.4506, 0.0240941, 0.0173843, 0.0203173, 0.0284562, 2.03215, 0.935818, 10000.0, 0.0823247, 0.0173548, 0.0202325, 0.0240163, 54.3758, 0.0298219, 0.0292243, 0.0818329, 10000.0, 7.76139, 0.920813, 0.2
airport-p08-airport2-p3.pddl-bolded-cs.png, 0.0477207, 24.9456, 0.037541, 0.0622816, 0.0391328, 0.10945, 7.3561, 3.24293, 10000.0, 0.261894, 0.0584109, 0.0398743, 0.0367281, 34.4276, 0.0473766, 0.107294, 0.261564, 10000.0, 190.689, 3.22605, 0.58
airport-p09-airport2-p4.pddl-bolded-cs.png, 0.0616627, 49.3287, 0.0478606, 0.166473, 0.083062, 0.213979, 36.586, 5.81598, 10000.0, 0.579604, 0.166782, 0.0825291, 0.0474408, 63.0647, 0.0616157, 0.218952, 0.579625, 10000.0, 865.764, 5.76858, 1.03
airport-p10-airport3-p1.pddl-bolded-cs.png, 0.0102659, 0.0523068, 0.01, 0.01, 0.01, 0.037542, 0.101726, 0.0507948, 10000.0, 0.0212134, 0.01, 0.01, 0.01, 0.0524038, 0.01046, 0.0376071, 0.0214692, 10000.0, 0.152973, 0.0504794, 0.1
